strike,expiration,historical_delta,current_delta,delta_change,delta_change_pct,historical_volume,current_volume,historical_oi,current_oi,days_to_expiry
195.0,2026-04-17,-0.1716,-0.17158,1.9999999999992246e-05,0.011655011655007137,202,202,0,0,240
185.0,2027-06-17,-0.1692,-0.16921,-1.0000000000010001e-05,-0.005910165484639481,1,1,323,323,666
215.0,2025-09-19,-0.1665,-0.16648,2.0000000000020002e-05,0.012012012012024025,699,699,14281,14281,30
180.0,2027-12-17,-0.1655,-0.16551,-9.999999999982245e-06,-0.0060422960724968245,3,3,881,881,849
210.0,2025-10-17,-0.1648,-0.16475,4.999999999999449e-05,0.030339805825239378,1331,1331,8680,8680,58
195.0,2026-03-20,-0.1639,-0.1639,0.0,0.0,267,267,7081,7081,212
185.0,2027-01-15,-0.162,-0.16197,3.0000000000002247e-05,0.018518518518519905,3,3,3139,3139,513
190.0,2026-06-18,-0.1592,-0.15921,-9.999999999982245e-06,-0.006281407035164726,33,33,9292,9292,302
220.0,2025-08-29,-0.1584,-0.15837,3.0000000000002247e-05,0.018939393939395355,1998,1998,7272,7272,9
200.0,2026-01-16,-0.1571,-0.15708,1.9999999999992246e-05,0.012730744748562856,875,875,42057,42057,149
200.0,2025-12-19,-0.1549,-0.15494,-3.999999999998449e-05,-0.02582311168494802,142,142,19139,19139,121
195.0,2026-02-20,-0.1543,-0.15434,-4.000000000001225e-05,-0.025923525599489468,14,14,1457,1457,184
180.0,2027-06-17,-0.1523,-0.15234,-4.000000000001225e-05,-0.026263952724893135,12,12,2200,2200,666
190.0,2026-05-15,-0.1523,-0.15226,3.999999999998449e-05,0.026263952724874917,1,1,1275,1275,268
217.5,2025-09-05,-0.147,-0.14697,3.0000000000002247e-05,0.02040816326530765,415,415,0,0,16
175.0,2027-06-17,-0.1458,-0.14581,-9.999999999982245e-06,-0.006858710562402088,4,4,1181,1181,666
190.0,2026-04-17,-0.1453,-0.14529,1.0000000000010001e-05,0.00688231245699243,1,1,5,5,240
180.0,2027-01-15,-0.1434,-0.1434,0.0,0.0,12,12,8388,8388,513
175.0,2027-12-17,-0.1425,-0.14253,-3.0000000000002247e-05,-0.021052631578948947,7,7,1010,1010,849
215.0,2025-09-12,-0.1415,-0.14147,2.999999999997449e-05,0.02120141342754381,423,423,1245,1245,23
180.0,2026-12-18,-0.141,-0.14101,-1.0000000000010001e-05,-0.007092198581567377,1,1,3576,3576,485
195.0,2026-01-16,-0.1387,-0.13874,-4.000000000001225e-05,-0.028839221341032624,382,382,19735,19735,149
170.0,2027-12-17,-0.1374,-0.13744,-4.000000000001225e-05,-0.029112081513837155,14,14,982,982,849
190.0,2026-03-20,-0.1369,-0.1369,0.0,0.0,59,59,9423,9423,212
222.5,2025-08-22,-0.1365,-0.13649,1.0000000000010001e-05,0.007326007326014653,6776,6776,56327,56327,2
175.0,2027-01-15,-0.1363,-0.13632,-1.9999999999992246e-05,-0.014673514306670759,12,12,2695,2695,513
185.0,2026-06-18,-0.1362,-0.13622,-2.0000000000020002e-05,-0.014684287812055804,258,258,5873,5873,302
175.0,2026-12-18,-0.1338,-0.13382,-1.9999999999992246e-05,-0.014947683109112292,2,2,1691,1691,485
200.0,2025-11-21,-0.1332,-0.13324,-3.999999999998449e-05,-0.030030030030018383,268,268,4811,4811,93
212.5,2025-09-19,-0.1329,-0.13293,-3.0000000000002247e-05,-0.022573363431152935,66,66,0,0,30
180.0,2026-09-18,-0.1308,-0.13081,-1.0000000000010001e-05,-0.007645259938845566,11,11,1169,1169,394
170.0,2027-06-17,-0.1307,-0.13069,1.0000000000010001e-05,0.0076511094108722266,3,3,1434,1434,666
190.0,2026-02-20,-0.1267,-0.12668,2.0000000000020002e-05,0.01578531965273875,1,1,1293,1293,184
180.0,2026-06-18,-0.1267,-0.12667,3.0000000000002247e-05,0.023677979479086224,203,203,5607,5607,302
210.0,2025-09-26,-0.1235,-0.12352,-2.0000000000006124e-05,-0.01619433198381063,125,125,527,527,37
175.0,2026-09-18,-0.1233,-0.12328,2.0000000000006124e-05,0.01622060016221097,13,13,1656,1656,394
215.0,2025-09-05,-0.1227,-0.12272,-1.9999999999992246e-05,-0.01629991850040118,134,134,1473,1473,16
